dw_map_glp                                                                            ,dw_map_glp_v001
dm_map_alias                                                                          ,dm_map_alias_v002
dm_map_drug_genuine_herb                                                              ,dm_map_drug_genuine_herb_v001
dm_map_stock_pawn_info                                                                ,dm_map_stock_pawn_info_v001
dm_map_shares_frost_info                                                              ,dm_map_shares_frost_info_v001
dw_map_cde_new_task                                                                   ,dw_map_cde_new_task_v001
dw_map_drug_target_info                                                               ,dw_map_drug_target_info_v002
dw_map_target_info                                                                    ,dw_map_target_info_v002
dw_map_chattel_mortgage                                                               ,dw_map_chattel_mortgage_v001
datacenter.public.dm_map_inmr_db_value.dm_map_inmr_code_765c7b_zombodb-41833          ,40818.2200.41822.41833-1381051786
dm_map_hk_mo_registered_drugs                                                         ,dm_map_hk_mo_registered_drugs_v001
dm_map_field_policy                                                                   ,dm_map_field_policy_v002
dm_map_cde_recheck_publicity                                                          ,dm_map_cde_recheck_publicity_v001
dm_map_drug_target_info                                                               ,dm_map_drug_target_info_v002
datacenter.public.dm_map_spider_log.idxproducts-41834                                 ,40960.2200.41824.41834-1942663849
dm_map_field_research_report                                                          ,dm_map_field_research_report_v002
dm_zfz_patent                                                                         ,dm_zfz_patent_v001
map_news                                                                              ,dm_map_news
dm_map_pmda_jp_approved_drugs                                                         ,dm_map_pmda_jp_approved_drugs_v002
dm_map_simple_table_1090                                                              ,dm_map_simple_table_1090_backup
dm_cxfw_cydn_device_bidding_result                                                    ,dm_cxfw_cydn_device_bidding_result_v001
dw_map_service_platform_service_demand                                                ,dw_map_service_platform_service_demand_v001
dw_map_inspect_info                                                                   ,dw_map_inspect_info_v001
dw_map_listed_company_announcement                                                    ,dw_map_listed_company_announcement_v001
dm_map_glp                                                                            ,dm_map_glp_v001
dm_map_field_financing_events                                                         ,dm_map_field_financing_events_v002
dm_cydn_medical_service_infos                                                         ,dm_cydn_medical_service_infos_v001
dw_map_drug_alias                                                                     ,dw_map_drug_alias_v001
dm_map_drug_alias                                                                     ,dm_map_drug_alias_v001
dm_map_implied_permission_clinical_drug                                               ,dm_map_implied_permission_clinical_drug_v001
dm_map_financing_event_4010                                                           ,dm_map_financing_event_4010_backup
